long,lat,nro_registro,tipo_activ,comuna,manzana,calle_nombre,calle_altura,calle_chapa,direccion_normalizada,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4354963875137,-34.569902070687796,82521,Lineal,14,NA,Matienzo Benjamin Tte.,1900.0,1951,"MATIENZO, BENJAMIN, TENIENTE 1951",Exacta,No identificado,4.4,Sobreocupada,Regular,Elevada,5,2
-58.426170404177896,-34.5912857526802,82524,Lineal,14,NA,Honduras,4600.0,4627,HONDURAS 4627,Exacta,Tilia x moltkei,3.5,Ocupada,Regular,A nivel,14,6
-58.4260072874045,-34.5913924687714,82525,Lineal,14,NA,Honduras,4600.0,4601,HONDURAS 4601,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,A nivel,33,7
-58.4257956032589,-34.5913526229537,82526,Lineal,14,NA,"Scalabrini Ortíz Raúl, Av",1500.0,1510,"SCALABRINI ORTIZ, RAUL AV. 1510",Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,A nivel,24,5
-58.42567890265389,-34.591275046689894,82529,Lineal,14,NA,"Scalabrini Ortíz Raúl, Av",1500.0,1538,"SCALABRINI ORTIZ, RAUL AV. 1538",Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,A nivel,37,11
-58.4255780890046,-34.591208035314196,82530,Lineal,14,NA,"Scalabrini Ortíz Raúl, Av",1500.0,1550,"SCALABRINI ORTIZ, RAUL AV. 1550",Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,A nivel,30,8
-58.4362669628028,-34.569539724533,82547,Lineal,14,NA,Campos Luis María Av.,700.0,781,"CAMPOS, LUIS M. AV. 781",Exacta,Fraxinus pennsylvanica,2.8,Ocupada,Regular,A nivel,82,8
-58.436067525926894,-34.569757109232604,82548,Lineal,14,NA,Campos Luis María Av.,700.0,751,"CAMPOS, LUIS M. AV. 751",Exacta,Jacaranda mimosifolia,2.8,Ocupada,Regular,A nivel,19,6
-58.43620879291429,-34.569101334145,82549,Lineal,14,NA,Báez,700.0,790,BAEZ 790,Exacta,Fraxinus pennsylvanica,4.4,Ocupada,Regular,A nivel,32,8
-58.43639301742721,-34.5694023251639,82550,Lineal,14,NA,Campos Luis María Av.,700.0,795,"CAMPOS, LUIS M. AV. 795",Exacta,Jacaranda mimosifolia,2.8,Sobreocupada,Regular,Elevada,15,6
-58.4361694641569,-34.5696459975073,82551,Lineal,14,NA,Campos Luis María Av.,700.0,761,"CAMPOS, LUIS M. AV. 761",Exacta,Jacaranda mimosifolia,2.8,Ocupada,Regular,A nivel,24,7
-58.4364189994588,-34.5693740047286,82552,Lineal,14,NA,Campos Luis María Av.,700.0,799,"CAMPOS, LUIS M. AV. 799",Exacta,Jacaranda mimosifolia,2.8,Ocupada,Ochava,Elevada,34,7
-58.435773343303296,-34.5693553890659,82553,Lineal,14,NA,Báez,700.0,750,BAEZ 750,Exacta,No identificado,4.4,Ocupada,Regular,A nivel,10,3
-58.4364487412525,-34.569255117880395,82554,Lineal,14,NA,Newbery Jorge,1900.0,1996,"NEWBERY, JORGE 1996",Exacta,Jacaranda mimosifolia,4.4,Ocupada,Ochava,A nivel,37,10
-58.4361652480669,-34.569126739703,82555,Lineal,14,NA,Báez,700.0,786,BAEZ 786,Exacta,Fraxinus pennsylvanica,4.4,Ocupada,Regular,A nivel,33,7
-58.4361652480669,-34.569126739703,82556,Lineal,14,NA,Báez,700.0,786,BAEZ 786,LD,Jacaranda mimosifolia,4.4,Ocupada,Regular,A nivel,39,9
-58.435773343303296,-34.5693553890659,82557,Lineal,14,NA,Báez,700.0,750,BAEZ 750,LD,Fraxinus pennsylvanica,4.4,Ocupada,Regular,A nivel,22,10
-58.43639301742721,-34.5694023251639,82558,Lineal,14,NA,Campos Luis María Av.,700.0,795,"CAMPOS, LUIS M. AV. 795",Exacta,Phoenix canariensis,2.8,Sobreocupada,Regular,Elevada,10,2
